date,x1,x2,response
7/31/1958,2,-0.994253095,
8/31/1958,3,-1.374144007,-0.514827556
9/30/1958,4,-0.673713587,-0.692505247
10/31/1958,5,-0.348563827,0.167757397
11/30/1958,6,-0.706047784,0.600420792
12/31/1958,7,-1.083866963,0.291447203
1/31/1959,8,-0.746150387,-0.099881016
2/28/1959,9,-0.381497657,0.16314704
3/31/1959,10,-0.481997438,0.39657554
4/30/1959,11,-0.419619794,0.116474706
5/31/1959,12,-1.106604911,-0.037958801
6/30/1959,13,-1.696020641,-0.965484903
7/31/1959,14,-1.696161494,-1.804215775
8/31/1959,15,-1.658316234,-2.046944722
9/30/1959,16,-1.308515343,-2.229877553
10/31/1959,17,-1.465661886,-2.065317838
11/30/1959,18,-1.043806997,-2.360651244
12/31/1959,19,-1.359251136,-2.021337115
1/31/1960,20,-0.750438019,-2.358543925
2/29/1960,21,-0.097654543,-1.709362294
3/31/1960,22,0.079041305,-0.956589037
4/30/1960,23,-0.660596559,-0.62649902
5/31/1960,24,0.180601934,-1.168875636
6/30/1960,25,-0.076584285,-0.098813565
7/31/1960,26,0.895240778,-0.109763501
8/31/1960,27,1.756264811,1.110360766
9/30/1960,28,2.088602223,2.206308885
10/31/1960,29,1.594578336,2.745588821
11/30/1960,30,1.699791759,2.417659215
12/31/1960,31,1.844526737,2.637791736
1/31/1961,32,0.982849573,2.839125517
2/28/1961,33,1.194594725,1.972207819
3/31/1961,34,1.457616412,2.117198936
4/30/1961,35,1.558896583,2.256103525
5/31/1961,36,1.252790787,2.183620537
6/30/1961,37,0.923892255,1.664909272
7/31/1961,38,1.757147828,1.09778174
8/31/1961,39,1.470497701,1.681996708
9/30/1961,40,0.502929255,1.150978508
10/31/1961,41,0.633181517,-0.041091855
11/30/1961,42,1.480030398,-0.101516914
12/31/1961,43,1.548438472,0.600334638
1/31/1962,44,1.100397981,0.578440604
2/28/1962,45,0.540258165,0.100407775
3/31/1962,46,0.241125801,-0.427549833
